bgc_id,site_no,date,time_pst,division,genus,species,cells_per_ml,biovolume_um3_per_ml,tally,sampler,replicate,tally_natural_units,avg_length,avg_width,avg_depth,bv_factor,cymbelloid,e,f,aliquot_ml,fields,data_flag,notes
BGC000412,11455139,04/07/2016,11:00,cryptophyta,cryptomonas,cryptomonas spp.,11.42,788.25,2,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000412,11455139,04/07/2016,11:00,bacillariophyta,cyclotella,cyclotella sp.,5.71,1090.99,1,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000412,11455139,04/07/2016,11:00,cyanobacteria,leptolyngbya,leptolyngbya sp.,486.62,2433.11,92,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000412,11455139,04/07/2016,11:00,bacillariophyta,navicula,navicula sp.,0.40,87.60,1,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000412,11455139,04/07/2016,11:00,bacillariophyta,stephanodiscus,stephanodiscus sp.,15.87,9362.18,3,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000412,11455139,04/07/2016,11:00,euglenozoa,strombomonas,strombomonas sp.,15.87,7838.84,3,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000412,11455139,04/07/2016,11:00,euglenozoa,trachelomonas,trachelomonas spp.,10.58,4570.01,2,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000413,11455146,04/07/2016,15:05,bacillariophyta,aulacoseira,aulacoseira granulata,21.16,22955.85,4,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000413,11455146,04/07/2016,15:05,bacillariophyta,aulacoseira,aulacoseira sp.,31.74,3649.66,6,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000413,11455146,04/07/2016,15:05,bacillariophyta,diploneis,diploneis sp.,10.58,3649.66,2,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000413,11455146,04/07/2016,15:05,bacillariophyta,gomphonema,gomphonema sp.,0.40,143.20,1,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000413,11455146,04/07/2016,15:05,cyanobacteria,leptolyngbya,leptolyngbya sp.,1222.37,7334.19,214,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000413,11455146,04/07/2016,15:05,bacillariophyta,stephanodiscus,stephanodiscus sp.,5.29,3342.88,1,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000413,11455146,04/07/2016,15:05,euglenozoa,strombomonas,strombomonas sp.,10.58,5236.47,2,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000413,11455146,04/07/2016,15:05,bacillariophyta,synedra,synedra spp.,11.42,6203.22,2,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000413,11455146,04/07/2016,15:05,euglenozoa,trachelomonas,trachelomonas spp.,26.45,16714.39,5,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000414,11455315,04/07/2016,15:30,bacillariophyta,aulacoseira,aulacoseira sp.,28.56,3055.91,5,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000414,11455315,04/07/2016,15:30,bacillariophyta,diploneis,diploneis sp.,5.71,2142.00,1,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000414,11455315,04/07/2016,15:30,bacillariophyta,epithemia,epithemia sp.,5.29,2216.24,1,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000414,11455315,04/07/2016,15:30,bacillariophyta,fragilaria,fragilaria capucina,68.54,3632.82,12,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000414,11455315,04/07/2016,15:30,bacillariophyta,fragilaria,fragilaria sp.,84.63,4823.90,16,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000414,11455315,04/07/2016,15:30,bacillariophyta,navicula,navicula sp.,5.71,1285.20,1,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000414,11455315,04/07/2016,15:30,bacillariophyta,nitzschia,nitzschia sp.,0.40,61.20,1,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000414,11455315,04/07/2016,15:30,bacillariophyta,stephanodiscus,stephanodiscus sp.,5.29,2496.58,1,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000414,11455315,04/07/2016,15:30,bacillariophyta,synedra,synedra spp.,15.87,7188.25,3,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000415,11455350,04/07/2016,15:45,bacillariophyta,achnanthidium,achnanthidium spp.,10.58,232.73,2,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000415,11455350,04/07/2016,15:45,bacillariophyta,aulacoseira,aulacoseira sp.,51.41,8430.90,9,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000415,11455350,04/07/2016,15:45,bacillariophyta,caloneis,caloneis sp.,0.40,278.00,1,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000415,11455350,04/07/2016,15:45,bacillariophyta,cyclotella,cyclotella sp.,0.40,118.80,1,Van Dorn sampler,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
