BGC ID	REP ID	Timestamp (PST) DS	Station Abbrev. DS	Station ID DS	Lab	Method	Toxin Class	Parameter	Result Value (ug/L)	Result Remark
BGC008870	NA	1/3/2023 16:30	LIB	11455315	BSA	ELISA	Anatoxins	Total Anatoxins ELISA	0.15	<
BGC008870	NA	1/3/2023 16:30	LIB	11455315	BSA	ELISA	Cylindrospermopsins	Total Cylindrospermopsins ELISA	0.05	<
BGC008870	NA	1/3/2023 16:30	LIB	11455315	BSA	ELISA	Microcystins and Nodularin	Total Microcystins plus Nodularins SAES ELISA	0.05	<
BGC008870	NA	1/3/2023 16:30	LIB	11455315	BSA	ELISA	Saxitoxins	Total Saxitoxins ELISA	0.02	<
BGC008870	NA	1/3/2023 16:30	LIB	11455315	Lumigen	LCMSMS	Anabaenopeptins	Anabaenopeptin A	0.01	<
BGC008870	NA	1/3/2023 16:30	LIB	11455315	Lumigen	LCMSMS	Anabaenopeptins	Anabaenopeptin B	0.01	<
BGC008870	NA	1/3/2023 16:30	LIB	11455315	Lumigen	LCMSMS	Anabaenopeptins	Anabaenopeptin F	0.04	NA
BGC008870	NA	1/3/2023 16:30	LIB	11455315	Lumigen	LCMSMS	Anabaenopeptins	Oscillamide Y	0.01	<
BGC008870	NA	1/3/2023 16:30	LIB	11455315	Lumigen	LCMSMS	Anatoxins	Anatoxin-a	0.05	<
BGC008870	NA	1/3/2023 16:30	LIB	11455315	Lumigen	LCMSMS	Anatoxins	Dihydroanatoxin-a	0.05	<
BGC008870	NA	1/3/2023 16:30	LIB	11455315	Lumigen	LCMSMS	Anatoxins	Homoanatoxin-a	0.05	<
BGC008870	NA	1/3/2023 16:30	LIB	11455315	Lumigen	LCMSMS	Cylindrospermopsins	7-deoxy-Cylindrospermopsin	0.05	<
BGC008870	NA	1/3/2023 16:30	LIB	11455315	Lumigen	LCMSMS	Cylindrospermopsins	7-epi-Cylindrospermopsin	0.05	<
BGC008870	NA	1/3/2023 16:30	LIB	11455315	Lumigen	LCMSMS	Cylindrospermopsins	Cylindrospermopsin	0.05	<
BGC008870	NA	1/3/2023 16:30	LIB	11455315	Lumigen	LCMSMS	Microcystins	Microcystin HilR	0.01	<
BGC008870	NA	1/3/2023 16:30	LIB	11455315	Lumigen	LCMSMS	Microcystins	Microcystin HtyR	0.01	<
BGC008870	NA	1/3/2023 16:30	LIB	11455315	Lumigen	LCMSMS	Microcystins	Microcystin LA	0.04	NA
BGC008870	NA	1/3/2023 16:30	LIB	11455315	Lumigen	LCMSMS	Microcystins	Microcystin LF	0.01	<
