WY,Sac Index,SJR Yr-type,SJR Index,SAC Yr-type
1995,12.4,W,5.5,W
1996,9.7,W,3.9,W
1997,11,W,4.2,W
1998,12.4,W,4.9,W
1999,10,W,3.4,AN
2000,9.2,W,3.3,AN
2001,5.9,D,2.3,D
2002,6.5,D,2.3,D
2003,8,AN,2.7,BN
2004,7.7,BN,2.2,D
2005,7.4,BN,4.2,W
2006,13,W,5.5,W
2007,6.2,D,1.9,C
2008,5.4,C,2.1,C
2009,5.5,D,2.4,D
2010,6.9,BN,3.5,AN
2011,10,W,5.1,W
2012,6.9,BN,2.2,D
2013,5.8,D,1.6,C
2014,4,C,1.1,C
2015,4,C,0.7,C
2016,7.1,BN,2.4,D
2017,14.9,W,6.2,W
2018,7.2,BN,3,BN
2019,10.2,W,4.2,W
2020,6,D,2.2,D
2021,4,C,1.3,C
2022,4.5,C,1.5,C
2023,9.4,W,6.5,W
