WY,Index,Yr-type
1906,11.76,W
1907,14.07,W
1908,7.73,BN
1909,12.1,W
1910,9.38,W
1911,11.74,W
1912,6.71,BN
1913,6.24,D
1914,10.92,W
1915,10.99,W
1916,10.83,W
1917,8.83,AN
1918,6.19,D
1919,7,BN
1920,5.15,C
1921,9.2,AN
1922,8.97,AN
1923,7.06,BN
1924,3.87,C
1925,6.39,D
1926,5.75,D
1927,9.52,W
1928,8.27,AN
1929,5.22,C
1930,5.9,D
1931,3.66,C
1932,5.48,D
1933,4.63,C
1934,4.07,C
1935,6.98,BN
1936,7.75,BN
1937,6.87,BN
1938,12.62,W
1939,5.58,D
1940,8.88,AN
1941,11.47,W
1942,11.27,W
1943,9.77,W
1944,6.35,D
1945,6.8,BN
1946,7.7,BN
1947,5.61,D
1948,7.12,BN
1949,6.09,D
1950,6.62,BN
1951,9.18,AN
1952,12.38,W
1953,9.55,W
1954,8.51,AN
1955,6.14,D
1956,11.38,W
1957,7.83,AN
1958,12.16,W
1959,6.75,BN
1960,6.2,D
1961,5.68,D
1962,6.65,BN
1963,9.63,W
1964,6.41,D
1965,10.15,W
1966,7.16,BN
1967,10.2,W
1968,7.24,BN
1969,11.05,W
1970,10.4,W
1971,10.37,W
1972,7.29,BN
1973,8.58,AN
1974,12.99,W
1975,9.35,W
1976,5.29,C
1977,3.11,C
1978,8.65,AN
1979,6.67,BN
1980,9.04,AN
1981,6.21,D
1982,12.76,W
1983,15.29,W
1984,10,W
1985,6.47,D
1986,9.96,W
1987,5.86,D
1988,4.65,C
1989,6.13,D
1990,4.81,C
1991,4.21,C
1992,4.06,C
1993,8.54,AN
1994,5.02,C
1995,12.89,W
1996,10.26,W
1997,10.82,W
1998,13.31,W
1999,9.8,W
2000,8.94,AN
2001,5.76,D
2002,6.35,D
2003,8.21,AN
2004,7.51,BN
2005,8.49,AN
2006,13.2,W
2007,6.19,D
2008,5.16,C
2009,5.78,D
2010,7.08,BN
2011,10.54,W
2012,6.89,BN
2013,5.83,D
2014,4.07,C
2015,4,C
2016,6.71,BN
2017,14.14,W
2018,7.14,BN
2019,10.34,W
2020,6.12,D
2021,3.8,C
2022,4.55,C
2023,9.33,W
2024,8.41,AN
