Year,Season,Month,SACmax_mo,OUTmax_mo,SJRmean_mo,EXPORTmean_mo,SAC_mean_var_m,OUT_mean_var_m,SAC_max_var_m,OUT_max_var_m,lag_SACmean_mo,lag_OUTmean_mo,lag_SJRmean_mo,lag_EXPORTmean_mo,SACmax_s,OUTmax_s,SAC_mean_var_s,OUT_mean_var_s,SAC_max_var_s,OUT_max_var_s,SACmax_sm,OUTmax_sm,SAC_max_var_sm,OUT_max_var_sm,year_month
1978,Autumn,10,15700,16533,3327.4193548387098,5157.129032258064,990.3225806451613,2911.6129032258063,2200,6800,17933.333333333332,11717.966666666667,2730.3333333333335,7562.066666666667,16100,22300,997.8260869565217,4108.684782608696,4100,15704,13203.225806451614,10928.066666666668,1496.6666666666667,6633.733333333334,1978-10-01
1978,Autumn,11,16100,22300,3497.6666666666665,5572.666666666667,1496.6666666666667,6633.733333333334,4100,15704,12487.09677419355,9599.967741935483,3327.4193548387098,5157.129032258064,16100,22300,997.8260869565217,4108.684782608696,4100,15704,13203.225806451614,10928.066666666668,1496.6666666666667,6633.733333333334,1978-11-01
1978,Autumn,12,13900,11303,2812.2580645161293,6050.677419354839,522.5806451612904,2862.1612903225805,1100,5385,12443.333333333334,10928.066666666668,3497.6666666666665,5572.666666666667,16100,22300,997.8260869565217,4108.684782608696,4100,15704,13203.225806451614,10928.066666666668,1496.6666666666667,6633.733333333334,1978-12-01
1979,Autumn,10,18300,15858,2790.3225806451615,7751.967741935484,2967.7419354838707,4758,7800,10079,14566.666666666666,4971.7,1841,9348.433333333332,45500,57821,5050,8448.434782608696,29600,45395,20319.354838709678,19028.548387096773,7841.935483870968,13774,1979-10-01
1979,Autumn,11,21400,20659,2320,5856.866666666667,4316.666666666667,6758.8,8500,11060,12577.41935483871,7798.645161290323,2790.3225806451615,7751.967741935484,45500,57821,5050,8448.434782608696,29600,45395,20319.354838709678,19028.548387096773,7841.935483870968,13774,1979-11-01
1979,Autumn,12,45500,57821,2486.7741935483873,5973.322580645161,7841.935483870968,13774,29600,45395,15200,12172.066666666668,2320,5856.866666666667,45500,57821,5050,8448.434782608696,29600,45395,20319.354838709678,19028.548387096773,7841.935483870968,13774,1979-12-01
1979,Spring,4,28200,38120,3506.3333333333335,5881.9,4773.333333333333,7248.033333333334,10000,19896,29164.516129032258,38086.8064516129,8651.935483870968,4347.129032258064,28200,38120,3663.736263736264,4830.494505494506,10000,19896,17983.870967741936,14484.6,4773.333333333333,7248.033333333334,1979-04-01
1979,Spring,5,22600,19109,2523.548387096774,6245.354838709677,4425.806451612903,5470.193548387097,7200,10967,16546.666666666668,14484.6,3506.3333333333335,5881.9,28200,38120,3663.736263736264,4830.494505494506,10000,19896,17983.870967741936,14484.6,4773.333333333333,7248.033333333334,1979-05-01
1979,Spring,6,15500,10808,2253.6666666666665,6351.033333333334,1766.6666666666667,1751.9333333333334,5800,9576,17983.870967741936,13434.709677419354,2523.548387096774,6245.354838709677,28200,38120,3663.736263736264,4830.494505494506,10000,19896,17983.870967741936,14484.6,4773.333333333333,7248.033333333334,1979-06-01
1979,Summer,7,17800,12100,1333.5483870967741,9458.774193548386,1370.967741935484,3378.4193548387098,3100,8181,12206.666666666666,5315.766666666666,2253.6666666666665,6351.033333333334,17800,12100,1194.5652173913043,2347.836956521739,3100,8181,16412.90322580645,5264.419354838709,1370.967741935484,3378.4193548387098,1979-07-01
