"","Regions","seasonyear","Date","Month","Year","Biomass","Grazing_rate","Filtration_rate","Chlorophyll","DissAmmonia","TotAmmonia","Secchi","TotPhos","DissNitrateNitrite","Temperature","TurbidityNTU","Conductivity","SAC","OUT","Index","season","SACmax_mo","OUTmax_mo","SAC_mean_var_m","OUT_mean_var_m","SAC_max_var_m","OUT_max_var_m","SACmax_s","OUTmax_s","SAC_mean_var_s","OUT_mean_var_s","SAC_max_var_s","OUT_max_var_s","SACmax_sm","OUTmax_sm","SAC_max_var_sm","OUT_max_var_sm","lagDissAmmonia","lagSecchi","lagTotPhos","lagDissNitrateNitrite","lagTemperature","lagTurbidityNTU","lagConductivity","lagSAC","lagOUT","lagSACmax_s","lagOUTmax_s","lagSAC_mean_var_s","lagOUT_mean_var_s","lagSAC_max_var_s","lagOUT_max_var_s","lagSACmax_sm","lagOUTmax_sm","lagSAC_max_var_sm","lagOUT_max_var_sm"
"1","Central","Autumn1967",1967-12-01,12,1967,NA,NA,NA,NA,NA,NA,54.625,NA,NA,5.3,NA,386.25,NA,NA,NA,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.875,NA,NA,23.5625,NA,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Central","Autumn1967",1967-11-01,11,1967,NA,NA,NA,NA,NA,NA,51.375,NA,NA,15.6125,NA,378,NA,NA,NA,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.875,NA,NA,23.5625,NA,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Central","Autumn1967",1967-10-01,10,1967,NA,NA,NA,NA,NA,NA,44.875,NA,NA,18.6125,NA,433,NA,NA,NA,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.875,NA,NA,23.5625,NA,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Central","Autumn1968",1968-12-01,12,1968,NA,NA,NA,NA,NA,NA,60,NA,NA,9.5,NA,235,NA,NA,NA,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.6875,NA,NA,21.95625,NA,413.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Central","Autumn1968",1968-10-01,10,1968,NA,NA,NA,NA,NA,NA,39.125,NA,NA,17.8625,NA,546.25,NA,NA,NA,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.6875,NA,NA,21.95625,NA,413.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Central","Autumn1968",1968-11-01,11,1968,NA,NA,NA,NA,NA,NA,47.25,NA,NA,15.15,NA,534.75,NA,NA,NA,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.6875,NA,NA,21.95625,NA,413.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Central","Autumn1969",1969-10-01,10,1969,NA,NA,NA,NA,NA,NA,61.25,NA,NA,16.0375,16.25,307.5,16693.5483870968,19483.7741935484,10.4,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.2638888888889,NA,NA,23.6291666666667,NA,275.935185185185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Central","Autumn1969",1969-12-01,12,1969,NA,NA,NA,NA,NA,NA,62.7142857142857,NA,NA,10,16,384.285714285714,35251.6129032258,46189.9032258065,10.4,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.2638888888889,NA,NA,23.6291666666667,NA,275.935185185185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Central","Autumn1970",1970-11-01,11,1970,NA,NA,NA,NA,NA,NA,83.4,NA,NA,14.2,12.4,389.6,22520,26116.5666666667,10.37,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.6888888888889,NA,NA,22.5947222222222,20.7,322.944444444444,15554.982078853,9263.48996415772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Central","Autumn1970",1970-12-01,12,1970,NA,NA,NA,NA,NA,NA,39.8,NA,NA,9.64,27,460,63970.9677419355,85368.935483871,10.37,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.6888888888889,NA,NA,22.5947222222222,20.7,322.944444444444,15554.982078853,9263.48996415772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Central","Autumn1970",1970-10-01,10,1970,NA,NA,NA,NA,NA,NA,67.4,NA,NA,16.74,14.8,320,15261.2903225806,13423.4193548387,10.37,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.6888888888889,NA,NA,22.5947222222222,20.7,322.944444444444,15554.982078853,9263.48996415772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Central","Autumn1971",1971-10-01,10,1971,NA,NA,NA,NA,NA,NA,46.4,NA,NA,18.8,31.2,305.2,16070.9677419355,13957.4193548387,7.29,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.125,NA,NA,23.5,NA,216.05,22612.8315412186,14767.1784946236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Central","Autumn1971",1971-12-01,12,1971,NA,NA,NA,NA,NA,NA,44.5,NA,NA,7.35,28,189.5,21758.064516129,23967.1935483871,7.29,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.125,NA,NA,23.5,NA,216.05,22612.8315412186,14767.1784946236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Central","Autumn1971",1971-11-01,11,1971,NA,NA,NA,NA,NA,NA,50,NA,NA,12.1333333333333,24.6666666666667,467.666666666667,15853.3333333333,13742.6,7.29,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.125,NA,NA,23.5,NA,216.05,22612.8315412186,14767.1784946236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Central","Autumn1972",1972-12-01,12,1972,NA,NA,NA,NA,NA,NA,56.5,NA,NA,4.25,NA,302.5,27422.5806451613,27133.1612903226,8.58,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5481481481481,NA,NA,21.8066666666667,NA,490.848148148148,15824.9103942652,7724.55985663084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Central","Autumn1972",1972-10-01,10,1972,NA,NA,NA,NA,NA,NA,55.2,NA,NA,18.0666666666667,NA,415.166666666667,16077.4193548387,11935.2258064516,8.58,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5481481481481,NA,NA,21.8066666666667,NA,490.848148148148,15824.9103942652,7724.55985663084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Central","Autumn1972",1972-11-01,11,1972,NA,NA,NA,NA,NA,NA,48,NA,NA,12.325,NA,348.5,23203.3333333333,25943.5,8.58,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5481481481481,NA,NA,21.8066666666667,NA,490.848148148148,15824.9103942652,7724.55985663084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Central","Autumn1975",1975-11-01,11,1975,NA,NA,NA,7.1825,NA,0.054,54,0.138,0.41,12,23.48,215.2,22250,17921.1333333333,5.29,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3030303030303,0.147666666666667,0.311666666666667,23.0684848484849,41.61,246.515151515152,19386.8817204301,11357.2394265233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Central","Autumn1975",1975-12-01,12,1975,NA,NA,NA,2.026,NA,0.072,67,0.128,0.456,9,21.88,210.4,25545.1612903226,19953.8709677419,5.29,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3030303030303,0.147666666666667,0.311666666666667,23.0684848484849,41.61,246.515151515152,19386.8817204301,11357.2394265233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Central","Autumn1975",1975-10-01,10,1975,NA,NA,NA,10.905,NA,0.075,46.9,0.139,0.317,17,36.943,235.6,19174.1935483871,16900.935483871,5.29,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3030303030303,0.147666666666667,0.311666666666667,23.0684848484849,41.61,246.515151515152,19386.8817204301,11357.2394265233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Central","Autumn1976",1976-12-01,12,1976,NA,NA,NA,1.96666666666667,NA,0.101666666666667,56.3333333333333,0.175,0.855,9.33333333333333,16.58,537.666666666667,7742.90322580645,4213.06451612903,3.11,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.2083333333333,0.190277777777778,0.334444444444444,23.2388888888889,17.6313888888889,531.009259259259,12645.2688172043,4054.07491039427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Central","Autumn1976",1976-11-01,11,1976,NA,NA,NA,6.45833333333333,NA,0.0366666666666667,62.4285714285714,0.17,0.636666666666667,16.2857142857143,23.3833333333333,641.142857142857,7823.33333333333,3643.43333333333,3.11,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.2083333333333,0.190277777777778,0.334444444444444,23.2388888888889,17.6313888888889,531.009259259259,12645.2688172043,4054.07491039427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
