"","Date","Regions","yearmonth","Month","Year","Biomass","Grazing_rate","Filtration_rate","...1","Depth","Sample_depth_surface","Sample_depth_nutr_surface","Sample_depth_bottom","Temperature","Temperature_bottom","Conductivity","Conductivity_bottom","Salinity","Salinity_bottom","Secchi","TurbidityNTU","TurbidityNTU_bottom","TurbidityFNU","TurbidityFNU_bottom","DissolvedOxygen","DissolvedOxygen_bottom","DissolvedOxygenPercent","DissolvedOxygenPercent_bottom","pH","pH_bottom","Chlorophyll","Pheophytin","TotAmmonia","DissAmmonia","DissNitrateNitrite","TotPhos","DissOrthophos","TON","DON","TKN","TotAlkalinity","DissBromide","DissCalcium","TotChloride","DissChloride","DissSilica","TOC","DOC","TDS","TSS","VSS","SAC","SJR","OUT","EXPORT","Index","season","SACmax_mo","OUTmax_mo","SAC_mean_var_m","OUT_mean_var_m","SAC_max_var_m","OUT_max_var_m","SACmax_s","OUTmax_s","SAC_mean_var_s","OUT_mean_var_s","SAC_max_var_s","OUT_max_var_s","SACmax_sm","OUTmax_sm","SAC_max_var_sm","OUT_max_var_sm","lagDissAmmonia","lagSecchi","lagTotPhos","lagDissNitrateNitrite","lagTemperature","lagTurbidityNTU","lagConductivity","lagSAC","lagOUT","lagSJR","lagDissOrthophos","lagIndex","lagSACmax_s","lagOUTmax_s","lagSAC_mean_var_s","lagOUT_mean_var_s","lagSAC_max_var_s","lagOUT_max_var_s","lagSACmax_sm","lagOUTmax_sm","lagSAC_max_var_sm","lagOUT_max_var_sm"
"1",1967-10-01,"Central","1967_10",10,1967,NA,NA,NA,468.625,NA,NA,NA,NA,18.6125,NA,433,NA,0.207960559439936,NA,44.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1967-11-01,"Central","1967_11",11,1967,NA,NA,NA,559.75,NA,NA,NA,NA,15.6125,NA,378,NA,0.180484361216707,NA,51.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1967-12-01,"Central","1967_12",12,1967,NA,NA,NA,640.25,NA,NA,NA,NA,5.3,NA,386.25,NA,0.184528275972177,NA,54.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.875,NA,NA,23.5625,NA,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1967-09-01,"Central","1967_9",9,1967,NA,NA,NA,385,NA,NA,NA,NA,23.5625,NA,433,NA,0.207960559439936,NA,40.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1968-01-01,"Central","1968_1",1,1968,NA,NA,NA,724.25,NA,NA,NA,NA,8.0125,NA,552.25,NA,0.266732915641965,NA,51.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1968-10-01,"Central","1968_10",10,1968,NA,NA,NA,1192.5,NA,NA,NA,NA,17.8625,NA,546.25,NA,0.264734204228375,NA,39.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1968-11-01,"Central","1968_11",11,1968,NA,NA,NA,1301.625,NA,NA,NA,NA,15.15,NA,534.75,NA,0.258422085516113,NA,47.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.125,NA,NA,21.95,NA,431.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1968-12-01,"Central","1968_12",12,1968,NA,NA,NA,1458,NA,NA,NA,NA,9.5,NA,235,NA,0.110970579964819,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.25,NA,NA,21.9625,NA,396.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1968-02-01,"Central","1968_2",2,1968,NA,NA,NA,812.125,NA,NA,NA,NA,11.8375,NA,567.5,NA,0.274489862416807,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.375,NA,NA,15.6125,NA,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1968-03-01,"Central","1968_3",3,1968,NA,NA,NA,902.25,NA,NA,NA,NA,12.9875,NA,390,NA,0.18650004308071,NA,34.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.625,NA,NA,5.3,NA,386.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1968-08-01,"Central","1968_8",8,1968,NA,NA,NA,998.125,NA,NA,NA,NA,21.95,NA,431.375,NA,0.206952638953476,NA,33.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1968-09-01,"Central","1968_9",9,1968,NA,NA,NA,1097.125,NA,NA,NA,NA,21.9625,NA,396.5,NA,0.189617795824431,NA,36.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1969-01-01,"Central","1969_1",1,1969,NA,NA,NA,1494.5,NA,NA,NA,NA,6.9375,NA,445,NA,0.213503109838385,NA,37.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1969-10-01,"Central","1969_10",10,1969,NA,NA,NA,2243.125,NA,NA,NA,NA,16.0375,NA,307.5,NA,0.14609231618881,NA,61.25,16.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16693.5483870968,4461.93548387097,19483.7741935484,2006.51612903226,10.4,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.083333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1969-12-01,"Central","1969_12",12,1969,NA,NA,NA,2447.28571428571,NA,NA,NA,NA,10,NA,384.285714285714,NA,0.183620073695848,NA,62.7142857142857,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35251.6129032258,2658.38709677419,46189.9032258065,821.064516129032,10.4,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5,NA,NA,22.075,NA,372.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1969-02-01,"Central","1969_2",2,1969,NA,NA,NA,1601.25,NA,NA,NA,NA,8.0125,NA,286.25,NA,0.135925260471874,NA,20.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.25,NA,NA,15.15,NA,534.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1969-03-01,"Central","1969_3",3,1969,NA,NA,NA,1693.5,NA,NA,NA,NA,10.7166666666667,NA,270,NA,0.127869880307348,NA,27.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,9.5,NA,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1969-07-01,"Central","1969_7",7,1969,NA,NA,NA,1849.5,7.71144,NA,NA,NA,NA,NA,153.083333333333,NA,0.0716454736676539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1969-08-01,"Central","1969_8",8,1969,NA,NA,NA,1954.77777777778,NA,NA,NA,NA,25.1833333333333,NA,302.222222222222,NA,0.144096068683293,NA,45.0277777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1969-09-01,"Central","1969_9",9,1969,NA,NA,NA,2119.58333333333,NA,NA,NA,NA,22.075,NA,372.5,NA,0.177997681499638,NA,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1970-01-01,"Central","1970_1",1,1970,NA,NA,NA,2575.66666666667,NA,NA,NA,NA,10.8666666666667,NA,405,NA,0.194256409257128,NA,33.5,35.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70261.2903225807,11115.8064516129,193121.419354839,1116,10.4,"Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1970-10-01,"Central","1970_10",10,1970,NA,NA,NA,3063.4,NA,NA,NA,NA,16.74,NA,320,NA,0.152840996568007,NA,67.4,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15261.2903225806,1466.12903225806,13423.4193548387,2584.38709677419,10.37,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.75,NA,NA,24.3858333333333,NA,365.916666666667,13174.1935483871,5256.48387096774,1330.1935483871,NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1970-11-01,"Central","1970_11",11,1970,NA,NA,NA,3215.4,NA,NA,NA,NA,14.2,NA,389.6,NA,0.187080423244702,NA,83.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22520,1655,26116.5666666667,2030.66666666667,10.37,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.9166666666667,NA,NA,23.0983333333333,21,348.916666666667,14977.4193548387,7947.41935483871,1044.38709677419,NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1970-12-01,"Central","1970_12",12,1970,NA,NA,NA,3334.8,NA,NA,NA,NA,9.64,NA,460,NA,0.220958545196595,NA,39.8,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63970.9677419355,5043.87096774194,85368.935483871,1914.58064516129,10.37,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.4,NA,NA,20.3,20.4,254,18513.3333333333,14586.5666666667,1319.33333333333,NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1970-03-01,"Central","1970_3",3,1970,NA,NA,NA,2712.4,NA,NA,NA,NA,12.98,NA,360,NA,0.171684319786725,NA,42.6,25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44206.4516129032,7179.67741935484,55985.7741935484,2265.09677419355,10.4,"Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.7142857142857,NA,NA,10,16,384.285714285714,35251.6129032258,46189.9032258065,2658.38709677419,NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1970-06-01,"Central","1970_6",6,1970,NA,NA,NA,2756,7.19328,NA,NA,NA,23.488,NA,443.166666666667,NA,0.212501642627164,NA,37.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11786.6666666667,2737,6214.46666666667,4997.2,10.4,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.6,NA,NA,12.98,25.6,360,44206.4516129032,55985.7741935484,7179.67741935484,NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1970-07-01,"Central","1970_7",7,1970,NA,NA,NA,2815,8.382,NA,NA,NA,24.3858333333333,NA,365.916666666667,NA,0.174567886537995,NA,31.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13174.1935483871,1330.1935483871,5256.48387096774,5227.45161290323,10.4,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1970-08-01,"Central","1970_8",8,1970,NA,NA,NA,2892.75,8.35152,NA,NA,NA,23.0983333333333,NA,348.916666666667,NA,0.166504759186155,NA,41.9166666666667,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14977.4193548387,1044.38709677419,7947.41935483871,4608,10.4,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1970-09-01,"Central","1970_9",9,1970,NA,NA,NA,2990,NA,NA,NA,NA,20.3,NA,254,NA,0.120238096069513,NA,51.4,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18513.3333333333,1319.33333333333,14586.5666666667,3089.3,10.4,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3333333333333,NA,NA,23.488,NA,443.166666666667,11786.6666666667,6214.46666666667,2737,NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1971-01-01,"Central","1971_1",1,1971,NA,NA,NA,3449.6,NA,NA,NA,NA,8.76,NA,495,NA,0.238118559839733,NA,39.5,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52322.5806451613,5203.54838709677,64189.7741935484,1867.06451612903,10.37,"Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1971-10-01,"Central","1971_10",10,1971,NA,NA,NA,4162.8,NA,NA,NA,NA,18.8,NA,305.2,NA,0.145440164107326,NA,46.4,31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16070.9677419355,2252.58064516129,13957.4193548387,3812.1935483871,7.29,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224.166666666667,20980.6451612903,11654.064516129,1065.87096774194,NA,10.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1971-11-01,"Central","1971_11",11,1971,NA,NA,NA,4243,NA,NA,NA,NA,12.1333333333333,NA,467.666666666667,NA,0.225296211971286,NA,50,24.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15853.3333333333,1646.33333333333,13742.6,3046.9,7.29,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.25,NA,NA,NA,NA,221.583333333333,22464.5161290323,12987.8709677419,891.709677419355,NA,10.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1971-12-01,"Central","1971_12",12,1971,NA,NA,NA,4343,NA,NA,NA,NA,7.35,NA,189.5,NA,0.0890986562270799,NA,44.5,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21758.064516129,2398.38709677419,23967.1935483871,2435.25806451613,7.29,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,23.5,NA,202.4,24393.3333333333,19659.6,1095.5,NA,10.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1971-02-01,"Central","1971_2",2,1971,NA,NA,NA,3560.6,NA,NA,NA,NA,10.04,NA,494.2,NA,0.237759286280412,NA,33.2,22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31196.4285714286,4391.42857142857,34195.6071428571,3154.53571428571,10.37,"Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.4,NA,NA,14.2,12.4,389.6,22520,26116.5666666667,1655,NA,10.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1971-03-01,"Central","1971_3",3,1971,NA,NA,NA,3639.5,NA,NA,NA,NA,10.65,NA,363,NA,0.173198234312953,NA,36.5,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30480.6451612903,2589.35483870968,32048.9677419355,4721.38709677419,10.37,"Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.8,NA,NA,9.64,27,460,63970.9677419355,85368.935483871,5043.87096774194,NA,10.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1971-06-01,"Central","1971_6",6,1971,NA,NA,NA,3770,NA,NA,NA,NA,NA,NA,293.166666666667,NA,0.139610593338524,NA,24.8333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27550,2322,21217.8666666667,5767.83333333333,10.37,"Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.5,NA,NA,10.65,28,363,30480.6451612903,32048.9677419355,2589.35483870968,NA,10.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1971-07-01,"Central","1971_7",7,1971,NA,NA,NA,3803.66666666667,NA,NA,NA,NA,NA,NA,224.166666666667,NA,0.106010271090835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20980.6451612903,1065.87096774194,11654.064516129,6508.93548387097,10.37,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1971-08-01,"Central","1971_8",8,1971,NA,NA,NA,3863.33333333333,NA,NA,NA,NA,NA,NA,221.583333333333,NA,0.104693911196552,NA,40.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22464.5161290323,891.709677419355,12987.8709677419,6700.48387096774,10.37,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1971-09-01,"Central","1971_9",9,1971,NA,NA,NA,4037.4,NA,NA,NA,NA,23.5,NA,202.4,NA,0.0953400314620109,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24393.3333333333,1095.5,19659.6,3906.73333333333,10.37,"Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8333333333333,NA,NA,NA,NA,293.166666666667,27550,21217.8666666667,2322,NA,10.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1972-01-01,"Central","1972_1",1,1972,NA,NA,NA,4485.66666666667,NA,NA,NA,NA,5.76666666666667,NA,371,NA,0.176966303895064,NA,53.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,3116.77419354839,21338.7741935484,1615,7.29,"Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
