Outmigration.year,spawner_abundance,Waterford_abundance,Grayson_abundance
1999,8910,NA,1723861
2000,8232,NA,240252
2001,17873,NA,298477
2002,8782,NA,13363
2003,7173,NA,11273
2004,2163,NA,24055
2005,1984,NA,112948
2006,668,562411,138609
2007,562,56442,951
2008,224,54854,4351
2009,388,57829,4202
2010,124,79087,2159
2011,540,389576,171342
2012,893,65828,2350
2013,783,42829,653
2014,1926,142007,NA
2015,438,25568,NA
2016,113,4474,NA
2017,1347,428216,405808
2018,1096,180319,33452
2019,1084,677864,156125
2020,927,41912,NA
2021,271,24501,NA
2022,186,11868,NA
