year,value,covariate,covariate_type,source,gage_id
1951,2318.728476821193,mean_jan_may_flow,flow,NA,NA
1952,5113.421052631583,mean_jan_may_flow,flow,NA,NA
1953,934.5629139072851,mean_jan_may_flow,flow,NA,NA
1954,1468.8013245033112,mean_jan_may_flow,flow,NA,NA
1955,677.0264900662246,mean_jan_may_flow,flow,NA,NA
1956,4081.8881578947385,mean_jan_may_flow,flow,NA,NA
1957,722.2384105960266,mean_jan_may_flow,flow,NA,NA
1958,4129.721854304637,mean_jan_may_flow,flow,NA,NA
1959,777.9470198675502,mean_jan_may_flow,flow,NA,NA
1960,455.026315789474,mean_jan_may_flow,flow,NA,NA
1961,313.82781456953626,mean_jan_may_flow,flow,NA,NA
1962,908.1456953642389,mean_jan_may_flow,flow,NA,NA
1963,2022.8211920529807,mean_jan_may_flow,flow,NA,NA
1964,509.74342105263236,mean_jan_may_flow,flow,NA,NA
1965,2895.6953642384137,mean_jan_may_flow,flow,NA,NA
1966,988.4370860927149,mean_jan_may_flow,flow,NA,NA
1967,3241.1589403973526,mean_jan_may_flow,flow,NA,NA
1968,844.3421052631579,mean_jan_may_flow,flow,NA,NA
1969,5669.523178807947,mean_jan_may_flow,flow,NA,NA
1970,1990.635761589402,mean_jan_may_flow,flow,NA,NA
1971,1042.3245033112569,mean_jan_may_flow,flow,NA,NA
1972,506.0065789473685,mean_jan_may_flow,flow,NA,NA
1973,685.6357615894035,mean_jan_may_flow,flow,NA,NA
1974,944.9801324503316,mean_jan_may_flow,flow,NA,NA
1975,1524.5496688741734,mean_jan_may_flow,flow,NA,NA
1976,797.1315789473681,mean_jan_may_flow,flow,NA,NA
1977,244.34437086092714,mean_jan_may_flow,flow,NA,NA
1978,1233.2781456953626,mean_jan_may_flow,flow,NA,NA
1979,2287.258278145693,mean_jan_may_flow,flow,NA,NA
1980,4316.322368421052,mean_jan_may_flow,flow,NA,NA
1981,1086.8675496688743,mean_jan_may_flow,flow,NA,NA
1982,4758.556291390725,mean_jan_may_flow,flow,NA,NA
1983,7791.920529801324,mean_jan_may_flow,flow,NA,NA
1984,3043.0526315789443,mean_jan_may_flow,flow,NA,NA
1985,878.0662251655634,mean_jan_may_flow,flow,NA,NA
1986,3448.052980132452,mean_jan_may_flow,flow,NA,NA
1987,667.635761589404,mean_jan_may_flow,flow,NA,NA
1988,256.1644736842106,mean_jan_may_flow,flow,NA,NA
1989,228.60927152317876,mean_jan_may_flow,flow,NA,NA
1990,254.54966887417217,mean_jan_may_flow,flow,NA,NA
1991,303.291390728477,mean_jan_may_flow,flow,NA,NA
1992,315.40789473684214,mean_jan_may_flow,flow,NA,NA
1993,612.8013245033114,mean_jan_may_flow,flow,NA,NA
1994,465.32450331125835,mean_jan_may_flow,flow,NA,NA
1995,5312.920529801328,mean_jan_may_flow,flow,NA,NA
1996,3704.973684210527,mean_jan_may_flow,flow,NA,NA
1997,5971.403973509946,mean_jan_may_flow,flow,NA,NA
1998,5006.741721854304,mean_jan_may_flow,flow,NA,NA
1999,2812.4039735099327,mean_jan_may_flow,flow,NA,NA
2000,2214.072368421052,mean_jan_may_flow,flow,NA,NA
2001,901.6490066225167,mean_jan_may_flow,flow,NA,NA
2002,475.6754966887416,mean_jan_may_flow,flow,NA,NA
