year,covariate,value,habitat_type,stream
1966,mean_wetted_acres,881.5602429000785,spawning,Tuolumne
1966,mean_spawn_acres,20.96484476797223,spawning,Tuolumne
1967,mean_wetted_acres,958.8749835371462,spawning,Tuolumne
1967,mean_spawn_acres,16.68419103295641,spawning,Tuolumne
1968,mean_wetted_acres,842.5548989396344,spawning,Tuolumne
1968,mean_spawn_acres,21.70808062464816,spawning,Tuolumne
1969,mean_wetted_acres,967.042052651826,spawning,Tuolumne
1969,mean_spawn_acres,15.01590132284871,spawning,Tuolumne
1970,mean_wetted_acres,831.3561115157082,spawning,Tuolumne
1970,mean_spawn_acres,23.66970958953842,spawning,Tuolumne
1971,mean_wetted_acres,815.9536684049326,spawning,Tuolumne
1971,mean_spawn_acres,24.162076579653768,spawning,Tuolumne
1972,mean_wetted_acres,817.0278213902997,spawning,Tuolumne
1972,mean_spawn_acres,23.288598251532655,spawning,Tuolumne
1973,mean_wetted_acres,862.0326942077827,spawning,Tuolumne
1973,mean_spawn_acres,20.656213707989473,spawning,Tuolumne
1974,mean_wetted_acres,1017.0595202840643,spawning,Tuolumne
1974,mean_spawn_acres,13.506751732854566,spawning,Tuolumne
1975,mean_wetted_acres,1032.2612160523038,spawning,Tuolumne
1975,mean_spawn_acres,13.343481795049264,spawning,Tuolumne
1976,mean_wetted_acres,758.7450514037232,spawning,Tuolumne
1976,mean_spawn_acres,30.12166620501987,spawning,Tuolumne
1977,mean_wetted_acres,682.7937660465805,spawning,Tuolumne
1977,mean_spawn_acres,11.738253885633002,spawning,Tuolumne
1978,mean_wetted_acres,897.2174267187023,spawning,Tuolumne
1978,mean_spawn_acres,16.80322160272567,spawning,Tuolumne
1979,mean_wetted_acres,931.5219886047553,spawning,Tuolumne
1979,mean_spawn_acres,14.629977070681086,spawning,Tuolumne
1980,mean_wetted_acres,1024.262432371,spawning,Tuolumne
1980,mean_spawn_acres,13.36105259581676,spawning,Tuolumne
1981,mean_wetted_acres,796.5148849538157,spawning,Tuolumne
1981,mean_spawn_acres,25.94961055850116,spawning,Tuolumne
1982,mean_wetted_acres,1080.9276894305497,spawning,Tuolumne
1982,mean_spawn_acres,13.211938838929868,spawning,Tuolumne
1983,mean_wetted_acres,1078.4542830287965,spawning,Tuolumne
1983,mean_spawn_acres,13.211938838929868,spawning,Tuolumne
1984,mean_wetted_acres,949.6816067484301,spawning,Tuolumne
1984,mean_spawn_acres,14.072501367632636,spawning,Tuolumne
1985,mean_wetted_acres,797.299446631738,spawning,Tuolumne
1985,mean_spawn_acres,26.22073959134259,spawning,Tuolumne
1986,mean_wetted_acres,973.4085084583636,spawning,Tuolumne
1986,mean_spawn_acres,13.673159555790543,spawning,Tuolumne
1987,mean_wetted_acres,751.1649949855832,spawning,Tuolumne
1987,mean_spawn_acres,30.143813197749857,spawning,Tuolumne
1988,mean_wetted_acres,714.9618551574639,spawning,Tuolumne
1988,mean_spawn_acres,22.95137154187592,spawning,Tuolumne
1989,mean_wetted_acres,745.0856548795214,spawning,Tuolumne
1989,mean_spawn_acres,28.88503119072835,spawning,Tuolumne
1990,mean_wetted_acres,723.7469417810964,spawning,Tuolumne
1990,mean_spawn_acres,25.072955667812657,spawning,Tuolumne
1991,mean_wetted_acres,720.1087277192386,spawning,Tuolumne
1991,mean_spawn_acres,24.212378542147825,spawning,Tuolumne
1992,mean_wetted_acres,724.4721692683605,spawning,Tuolumne
1992,mean_spawn_acres,25.60959646080202,spawning,Tuolumne
1993,mean_wetted_acres,790.9048352823075,spawning,Tuolumne
1993,mean_spawn_acres,27.746918164964654,spawning,Tuolumne
1994,mean_wetted_acres,733.2013684560018,spawning,Tuolumne
1994,mean_spawn_acres,27.670876683553338,spawning,Tuolumne
1995,mean_wetted_acres,852.2539436165614,spawning,Tuolumne
1995,mean_spawn_acres,24.119170127950174,spawning,Tuolumne
1996,mean_wetted_acres,892.7950553506839,spawning,Tuolumne
1996,mean_spawn_acres,22.333632528381656,spawning,Tuolumne
1997,mean_wetted_acres,800.7058234557811,spawning,Tuolumne
1997,mean_spawn_acres,26.563397482518575,spawning,Tuolumne
1998,mean_wetted_acres,885.3953169398186,spawning,Tuolumne
1998,mean_spawn_acres,19.908663202508873,spawning,Tuolumne
1999,mean_wetted_acres,785.4559966667236,spawning,Tuolumne
