year,stream,value,covariate,covariate_type
1961,American River,12.230645161290322,mean_spawn_temp_oct_dec,temperature
1962,American River,12.883695652173914,mean_spawn_temp_oct_dec,temperature
1963,American River,13.385869565217392,mean_spawn_temp_oct_dec,temperature
1964,American River,13.513043478260867,mean_spawn_temp_oct_dec,temperature
1965,American River,13.618478260869566,mean_spawn_temp_oct_dec,temperature
1966,American River,13.65108695652174,mean_spawn_temp_oct_dec,temperature
1966,Sacramento River,12.996739130434783,mean_spawn_temp_oct_dec,temperature
1967,American River,14.652173913043475,mean_spawn_temp_oct_dec,temperature
1967,Sacramento River,11.644444444444442,mean_spawn_temp_oct_dec,temperature
1968,American River,14.858695652173916,mean_spawn_temp_oct_dec,temperature
1968,Sacramento River,12.402173913043477,mean_spawn_temp_oct_dec,temperature
1969,American River,14.142857142857146,mean_spawn_temp_oct_dec,temperature
1969,Sacramento River,12.766304347826088,mean_spawn_temp_oct_dec,temperature
1969,Yuba River,12.088501291989665,mean_spawn_temp_oct_dec,temperature
1970,American River,13.285714285714285,mean_spawn_temp_oct_dec,temperature
1970,Sacramento River,12.494565217391301,mean_spawn_temp_oct_dec,temperature
1970,Yuba River,11.785024154589372,mean_spawn_temp_oct_dec,temperature
1971,American River,13.046739130434784,mean_spawn_temp_oct_dec,temperature
1971,Sacramento River,11.543478260869566,mean_spawn_temp_oct_dec,temperature
1971,Yuba River,12.179347826086957,mean_spawn_temp_oct_dec,temperature
1972,American River,11.906666666666666,mean_spawn_temp_oct_dec,temperature
1972,Sacramento River,11.668478260869566,mean_spawn_temp_oct_dec,temperature
1972,Yuba River,12.070652173913045,mean_spawn_temp_oct_dec,temperature
1973,American River,12.633695652173913,mean_spawn_temp_oct_dec,temperature
1973,Sacramento River,12.983695652173914,mean_spawn_temp_oct_dec,temperature
1973,Yuba River,12.449275362318842,mean_spawn_temp_oct_dec,temperature
1974,American River,14.722826086956522,mean_spawn_temp_oct_dec,temperature
1974,Sacramento River,12.326086956521742,mean_spawn_temp_oct_dec,temperature
1974,Yuba River,13.408212560386474,mean_spawn_temp_oct_dec,temperature
1975,American River,13.398913043478261,mean_spawn_temp_oct_dec,temperature
1975,Sacramento River,12.315217391304351,mean_spawn_temp_oct_dec,temperature
1975,Yuba River,12.96195652173913,mean_spawn_temp_oct_dec,temperature
1976,American River,14.490217391304348,mean_spawn_temp_oct_dec,temperature
1976,Sacramento River,12.22857142857143,mean_spawn_temp_oct_dec,temperature
1976,Yuba River,13.306159420289855,mean_spawn_temp_oct_dec,temperature
1977,American River,17.067391304347826,mean_spawn_temp_oct_dec,temperature
1977,Sacramento River,12.847368421052632,mean_spawn_temp_oct_dec,temperature
1977,Yuba River,14.88707729468599,mean_spawn_temp_oct_dec,temperature
1978,American River,12.86413043478261,mean_spawn_temp_oct_dec,temperature
1978,Sacramento River,12.13695652173913,mean_spawn_temp_oct_dec,temperature
1978,Yuba River,12.699275362318842,mean_spawn_temp_oct_dec,temperature
1979,Sacramento River,12.91529411764706,mean_spawn_temp_oct_dec,temperature
1979,Yuba River,12.551932367149758,mean_spawn_temp_oct_dec,temperature
1980,Sacramento River,13.168478260869566,mean_spawn_temp_oct_dec,temperature
1980,Yuba River,12.33635265700483,mean_spawn_temp_oct_dec,temperature
1981,Sacramento River,13.920652173913043,mean_spawn_temp_oct_dec,temperature
1981,Yuba River,12.022946859903382,mean_spawn_temp_oct_dec,temperature
1982,Sacramento River,12.343478260869563,mean_spawn_temp_oct_dec,temperature
1982,Yuba River,11.406400966183575,mean_spawn_temp_oct_dec,temperature
1983,Sacramento River,13.184782608695649,mean_spawn_temp_oct_dec,temperature
1983,Yuba River,12.534420289855074,mean_spawn_temp_oct_dec,temperature
1984,Sacramento River,12.23913043478261,mean_spawn_temp_oct_dec,temperature
1984,Yuba River,11.493357487922705,mean_spawn_temp_oct_dec,temperature
1985,Sacramento River,12.097826086956522,mean_spawn_temp_oct_dec,temperature
1985,Yuba River,10.977657004830919,mean_spawn_temp_oct_dec,temperature
1986,Sacramento River,13.146739130434785,mean_spawn_temp_oct_dec,temperature
1986,Yuba River,12.079106280193237,mean_spawn_temp_oct_dec,temperature
1987,Sacramento River,13.809782608695649,mean_spawn_temp_oct_dec,temperature
1987,Yuba River,12.53985507246377,mean_spawn_temp_oct_dec,temperature
1988,Sacramento River,13.864130434782604,mean_spawn_temp_oct_dec,temperature
1988,Yuba River,12.373188405797102,mean_spawn_temp_oct_dec,temperature
1989,Sacramento River,13.38586956521739,mean_spawn_temp_oct_dec,temperature
1989,Yuba River,12.033816425120774,mean_spawn_temp_oct_dec,temperature
1990,Sacramento River,12.478021978021973,mean_spawn_temp_oct_dec,temperature
1990,Yuba River,12.196859903381643,mean_spawn_temp_oct_dec,temperature
1991,Sacramento River,13.6304347826087,mean_spawn_temp_oct_dec,temperature
1991,Yuba River,12.35084541062802,mean_spawn_temp_oct_dec,temperature
1992,Sacramento River,12.544117647058822,mean_spawn_temp_oct_dec,temperature
1992,Yuba River,12.564613526570048,mean_spawn_temp_oct_dec,temperature
1993,Sacramento River,12.61413043478261,mean_spawn_temp_oct_dec,temperature
1993,Yuba River,12.531400966183575,mean_spawn_temp_oct_dec,temperature
1994,Sacramento River,11.82558139534884,mean_spawn_temp_oct_dec,temperature
1994,Yuba River,11.970410628019325,mean_spawn_temp_oct_dec,temperature
1995,Sacramento River,11.694444444444446,mean_spawn_temp_oct_dec,temperature
1995,Yuba River,12.623188405797102,mean_spawn_temp_oct_dec,temperature
1996,Sacramento River,13.554347826086959,mean_spawn_temp_oct_dec,temperature
1996,Yuba River,11.458937198067634,mean_spawn_temp_oct_dec,temperature
1997,Sacramento River,13.135869565217392,mean_spawn_temp_oct_dec,temperature
1997,Yuba River,12.41364734299517,mean_spawn_temp_oct_dec,temperature
1998,American River,13.261904761904765,mean_spawn_temp_oct_dec,temperature
1998,Sacramento River,12.1,mean_spawn_temp_oct_dec,temperature
1998,Yuba River,11.552536231884059,mean_spawn_temp_oct_dec,temperature
1999,American River,15.427777777777777,mean_spawn_temp_oct_dec,temperature
1999,Sacramento River,12.907608695652176,mean_spawn_temp_oct_dec,temperature
1999,Yuba River,13.108091787439614,mean_spawn_temp_oct_dec,temperature
2000,American River,15.103260869565215,mean_spawn_temp_oct_dec,temperature
2000,Sacramento River,12.836956521739133,mean_spawn_temp_oct_dec,temperature
2000,Yuba River,12.269927536231885,mean_spawn_temp_oct_dec,temperature
2001,American River,16.72826086956522,mean_spawn_temp_oct_dec,temperature
2001,Sacramento River,13.510869565217396,mean_spawn_temp_oct_dec,temperature
2001,Yuba River,12.555555555555555,mean_spawn_temp_oct_dec,temperature
2002,American River,14.728260869565215,mean_spawn_temp_oct_dec,temperature
2002,Sacramento River,12.956521739130434,mean_spawn_temp_oct_dec,temperature
2002,Yuba River,11.466787439613528,mean_spawn_temp_oct_dec,temperature
2003,American River,14.923913043478258,mean_spawn_temp_oct_dec,temperature
2003,Feather River,12.870772946859903,mean_spawn_temp_oct_dec,temperature
2003,Mokelumne River,14.85,mean_spawn_temp_oct_dec,temperature
2003,Sacramento River,13.445652173913041,mean_spawn_temp_oct_dec,temperature
2003,Yuba River,12.03683574879227,mean_spawn_temp_oct_dec,temperature
2004,American River,14.565217391304351,mean_spawn_temp_oct_dec,temperature
2004,Feather River,12.541062801932368,mean_spawn_temp_oct_dec,temperature
2004,Mokelumne River,13.578260869565218,mean_spawn_temp_oct_dec,temperature
2004,Sacramento River,13.178160919540229,mean_spawn_temp_oct_dec,temperature
