year,value,covariate,covariate_type
1966,15.408609271523177,mean_temp_jan_may,temperature
1967,11.69205298013245,mean_temp_jan_may,temperature
1968,16.17105263157894,mean_temp_jan_may,temperature
1969,11.699186991869915,mean_temp_jan_may,temperature
1970,14.353773584905657,mean_temp_jan_may,temperature
1971,13.739316239316246,mean_temp_jan_may,temperature
1972,16.375657894736843,mean_temp_jan_may,temperature
1973,15.924503311258281,mean_temp_jan_may,temperature
1974,16.558108108108108,mean_temp_jan_may,temperature
1975,13.875187969924811,mean_temp_jan_may,temperature
1976,16.07608695652173,mean_temp_jan_may,temperature
1977,17.340845070422535,mean_temp_jan_may,temperature
1978,14.49846153846154,mean_temp_jan_may,temperature
1979,11.812612612612613,mean_temp_jan_may,temperature
1989,16.30463576158941,mean_temp_jan_may,temperature
1990,18.539603960396036,mean_temp_jan_may,temperature
1991,16.49337748344371,mean_temp_jan_may,temperature
1992,16.423999999999996,mean_temp_jan_may,temperature
1993,18.84020618556701,mean_temp_jan_may,temperature
1994,15.959677419354836,mean_temp_jan_may,temperature
1995,11.627777777777778,mean_temp_jan_may,temperature
2001,14.71192052980133,mean_temp_jan_may,temperature
2002,16.324503311258283,mean_temp_jan_may,temperature
2003,16.24834437086092,mean_temp_jan_may,temperature
2005,12.039735099337749,mean_temp_jan_may,temperature
2006,11,mean_temp_jan_may,temperature
2007,15.131724137931034,mean_temp_jan_may,temperature
2008,15.344078947368422,mean_temp_jan_may,temperature
2009,15.68543046357616,mean_temp_jan_may,temperature
2010,13.792592592592593,mean_temp_jan_may,temperature
2011,11.384347826086957,mean_temp_jan_may,temperature
2012,15.15,mean_temp_jan_may,temperature
2013,16.79337748344371,mean_temp_jan_may,temperature
2014,17.888741721854302,mean_temp_jan_may,temperature
2015,18.290066225165564,mean_temp_jan_may,temperature
2016,16.832236842105264,mean_temp_jan_may,temperature
2017,10.919014084507042,mean_temp_jan_may,temperature
2018,14.023841059602649,mean_temp_jan_may,temperature
2019,11.81,mean_temp_jan_may,temperature
2020,16.128947368421052,mean_temp_jan_may,temperature
2021,17.47086092715232,mean_temp_jan_may,temperature
2022,17.30794701986755,mean_temp_jan_may,temperature
2023,11.422222222222222,mean_temp_jan_may,temperature
1966,19.329347826086956,mean_temp_mar_may,temperature
1967,12.631521739130434,mean_temp_mar_may,temperature
1968,19,mean_temp_mar_may,temperature
1969,12.75862068965517,mean_temp_mar_may,temperature
1970,18.008333333333336,mean_temp_mar_may,temperature
1971,16.19565217391304,mean_temp_mar_may,temperature
1972,20.018478260869564,mean_temp_mar_may,temperature
1973,18.989130434782606,mean_temp_mar_may,temperature
1974,19.758426966292134,mean_temp_mar_may,temperature
1975,15.562162162162162,mean_temp_mar_may,temperature
1976,18.512820512820515,mean_temp_mar_may,temperature
1977,19.831521739130434,mean_temp_mar_may,temperature
1978,15.638157894736842,mean_temp_mar_may,temperature
1979,13.128846153846155,mean_temp_mar_may,temperature
1989,19.983695652173918,mean_temp_mar_may,temperature
1990,20.51315789473684,mean_temp_mar_may,temperature
1991,18.157608695652176,mean_temp_mar_may,temperature
1992,20.423076923076923,mean_temp_mar_may,temperature
1993,19.108695652173914,mean_temp_mar_may,temperature
1994,18.54,mean_temp_mar_may,temperature
1995,12.064516129032258,mean_temp_mar_may,temperature
2001,17.69565217391304,mean_temp_mar_may,temperature
2002,18.673913043478258,mean_temp_mar_may,temperature
2003,18.320652173913043,mean_temp_mar_may,temperature
2005,12.668478260869566,mean_temp_mar_may,temperature
2007,17.95813953488372,mean_temp_mar_may,temperature
2008,17.995652173913044,mean_temp_mar_may,temperature
2009,18.090217391304346,mean_temp_mar_may,temperature
2010,15.179310344827586,mean_temp_mar_may,temperature
2011,11.679120879120878,mean_temp_mar_may,temperature
